payroll_id,employee_id,company_id,department_id,pay_period_start,pay_period_end,pay_date,gross_salary,bonus,overtime_pay,commission,allowances,tax_deduction,social_security,health_insurance,retirement_contribution,other_deductions,payment_method,status,net_salary
1,11228,1,14,28-09-2025 00:00,28-10-2025 00:00,28-10-2025 00:00,11032.77,0,0,1044.74,776.04,2206.55,684.03,231.16,551.64,3.83,Cash,Pending,9176.34
2,10524,2,12,16-07-2025 00:00,15-08-2025 00:00,15-08-2025 00:00,10041.53,1310.99,0,0,573.28,2008.31,622.57,643.72,502.08,343.12,Cash,Processing,7806
3,10847,2,16,16-05-2025 00:00,15-06-2025 00:00,15-06-2025 00:00,5694.46,2248.21,0,0,659.59,1138.89,353.06,552.37,284.72,382.26,Cash,Processing,5890.96
4,10727,1,16,07-07-2025 00:00,06-08-2025 00:00,06-08-2025 00:00,5236.68,0,0,0,358.78,1047.34,324.67,465.31,261.83,228.88,Check,Pending,3267.43
5,11127,2,11,05-08-2025 00:00,04-09-2025 00:00,04-09-2025 00:00,4401.42,0,0,0,574.15,880.28,272.89,392.28,220.07,420.74,Bank Transfer,Pending,2789.31
6,11310,2,11,28-05-2025 00:00,27-06-2025 00:00,27-06-2025 00:00,7416.06,1347.94,0,786.62,884.66,1483.21,459.8,217.08,370.8,462.29,Bank Transfer,Processing,7442.1
7,11135,2,13,17-02-2025 00:00,19-03-2025 00:00,19-03-2025 00:00,3773.28,0,0,0,5.31,754.66,233.94,649.67,188.66,214.08,Cash,Processing,1737.58
8,10694,1,5,25-03-2025 00:00,24-04-2025 00:00,24-04-2025 00:00,6025.54,0,0,0,647.59,1205.11,373.58,384.16,301.28,150.08,Bank Transfer,Paid,4258.92
9,10609,2,10,23-12-2025 00:00,22-01-2026 00:00,22-01-2026 00:00,5487.62,0,0,0,304.18,1097.52,340.23,214.85,274.38,312.21,Cash,Paid,3552.61
10,10915,2,14,28-02-2025 00:00,30-03-2025 00:00,30-03-2025 00:00,3469.78,0,1436.26,0,848.69,693.96,215.13,488.18,173.49,50.71,Check,Paid,4133.26
11,10426,2,8,25-02-2025 00:00,27-03-2025 00:00,27-03-2025 00:00,5035.04,2355.82,271.22,0,291.16,1007.01,312.17,796.35,251.75,344.6,Check,Processing,5241.36
12,11144,1,16,29-07-2025 00:00,28-08-2025 00:00,28-08-2025 00:00,3953.83,0,0,0,247.2,790.77,245.14,527.24,197.69,63.79,Cash,Pending,2376.4
13,10250,2,1,28-07-2025 00:00,27-08-2025 00:00,27-08-2025 00:00,8581.31,1261.64,463.72,467.09,93.34,1716.26,532.04,576.08,429.07,209.04,Cash,Pending,7404.61
14,10274,2,12,06-08-2025 00:00,05-09-2025 00:00,05-09-2025 00:00,4481.27,0,1218.07,0,878.31,896.25,277.84,390.14,224.06,300.93,Check,Paid,4488.43
15,10411,1,11,28-04-2025 00:00,28-05-2025 00:00,28-05-2025 00:00,11125.33,0,0,0,249.74,2225.07,689.77,326.16,556.27,121.19,Bank Transfer,Processing,7456.61
16,11100,1,5,25-04-2025 00:00,25-05-2025 00:00,25-05-2025 00:00,9602.98,0,0,1592.05,516.33,1920.6,595.38,628.73,480.15,175.7,Check,Paid,7910.8
17,10424,1,11,04-08-2025 00:00,03-09-2025 00:00,03-09-2025 00:00,6340.48,0,0,0,805.96,1268.1,393.11,275.81,317.02,31.57,Check,Processing,4860.83
18,10083,2,1,29-08-2025 00:00,28-09-2025 00:00,28-09-2025 00:00,11019.85,3083.71,0,0,930.17,2203.97,683.23,419.13,550.99,427.32,Cash,Processing,10749.09
19,10069,2,8,06-10-2025 00:00,05-11-2025 00:00,05-11-2025 00:00,10087.97,106.12,1581.43,0,903.2,2017.59,625.45,662.07,504.4,473.31,Cash,Processing,8395.9
20,11051,2,18,02-08-2025 00:00,01-09-2025 00:00,01-09-2025 00:00,6118.29,0,1096.77,0,169.83,1223.66,379.33,444.89,305.91,439.93,Bank Transfer,Processing,4591.17
21,11533,2,10,01-09-2025 00:00,01-10-2025 00:00,01-10-2025 00:00,7235.29,3579.4,0,0,235.54,1447.06,448.59,293.95,361.76,277.19,Check,Pending,8221.68
22,10550,2,2,05-10-2025 00:00,04-11-2025 00:00,04-11-2025 00:00,4495.03,0,0,0,725.49,899.01,278.69,400.44,224.75,167.34,Bank Transfer,Paid,3250.29
23,10577,1,17,18-05-2025 00:00,17-06-2025 00:00,17-06-2025 00:00,3729.22,1185.86,1528.15,0,34.13,745.84,231.21,354.61,186.46,493.23,Bank Transfer,Paid,4466.01
24,10116,2,2,10-10-2025 00:00,09-11-2025 00:00,09-11-2025 00:00,5127.17,0,0,2587.72,644.31,1025.43,317.88,786.08,256.36,309.18,Check,Processing,5664.27
25,10376,2,9,09-12-2025 00:00,08-01-2026 00:00,08-01-2026 00:00,5133.67,0,0,0,978.7,1026.73,318.29,580.38,256.68,374.1,Check,Processing,3556.19
26,10454,1,6,13-12-2025 00:00,12-01-2026 00:00,12-01-2026 00:00,7801.02,0,0,1458.5,806.63,1560.2,483.66,751.3,390.05,105.76,Bank Transfer,Processing,6775.18
27,11294,2,7,16-09-2025 00:00,16-10-2025 00:00,16-10-2025 00:00,3824.52,361.06,1511.32,0,456.27,764.9,237.12,715.24,191.23,316.51,Bank Transfer,Paid,3928.17
28,11191,2,1,15-12-2025 00:00,14-01-2026 00:00,14-01-2026 00:00,3426.73,0,0,0,247.65,685.35,212.46,421.72,171.34,85.58,Cash,Pending,2097.93
29,10041,2,16,16-08-2025 00:00,15-09-2025 00:00,15-09-2025 00:00,2806.17,0,0,0,995.64,561.23,173.98,617.03,140.31,467.51,Cash,Paid,1841.75
30,11366,2,10,07-04-2025 00:00,07-05-2025 00:00,07-05-2025 00:00,10818.94,0,573.39,0,901.25,2163.79,670.77,763.29,540.95,250.92,Cash,Processing,7903.86
31,11450,2,13,02-08-2025 00:00,01-09-2025 00:00,01-09-2025 00:00,5731.44,0,0,0,37.38,1146.29,355.35,221.47,286.57,72.82,Check,Processing,3686.32
32,10585,2,20,27-01-2025 00:00,26-02-2025 00:00,26-02-2025 00:00,6989.99,0,0,2743.53,588.4,1398,433.38,369.2,349.5,353.32,Check,Paid,7418.52
33,10030,1,18,04-04-2025 00:00,04-05-2025 00:00,04-05-2025 00:00,9469.03,0,715.98,897.47,95.81,1893.81,587.08,331.84,473.45,347.43,Cash,Processing,7544.68
34,10486,2,9,03-10-2025 00:00,02-11-2025 00:00,02-11-2025 00:00,10233.8,0,105.92,0,406.29,2046.76,634.5,397.13,511.69,116.73,Check,Processing,7039.2
35,10580,1,16,21-01-2025 00:00,20-02-2025 00:00,20-02-2025 00:00,4599.77,3458.17,1120.01,0,315.59,919.95,285.19,368.55,229.99,239.1,Bank Transfer,Processing,7450.76
36,11370,2,14,25-11-2025 00:00,25-12-2025 00:00,25-12-2025 00:00,3448.96,0,0,0,263.87,689.79,213.84,430.24,172.45,355.48,Check,Processing,1851.03
37,11428,1,1,19-04-2025 00:00,19-05-2025 00:00,19-05-2025 00:00,6087.41,0,0,1999.01,509.89,1217.48,377.42,262.88,304.37,116.94,Cash,Paid,6317.22
38,10583,2,12,11-08-2025 00:00,10-09-2025 00:00,10-09-2025 00:00,6605.47,0,0,0,787.05,1321.09,409.54,751,330.27,331.92,Check,Paid,4248.7
